Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-08 02:04:13,"3.10311, 101.614945",194 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-08 02:05:23,"3.1010433, 101.611025",167 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-08 02:06:08,"3.0981117, 101.6109883",142 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-08 02:07:23,"3.0929533, 101.610995",135 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-08 02:08:03,"3.0894567, 101.612905",167 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-08 02:09:28,"3.0894517, 101.61495",72 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-08 02:10:33,"3.0924083, 101.6154933",153 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-08 02:11:23,"3.0952617, 101.61742",19 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-08 02:17:23,"3.0947533, 101.6273283",175 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-08 02:17:48,"3.095885, 101.6290417",177 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-08 02:18:43,"3.0969517, 101.6322283",174 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-08 02:19:13,"3.0997967, 101.6322617",101 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-08 02:19:38,"3.1014, 101.63172",119 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-08 02:20:38,"3.1028567, 101.6294383",70 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-08 02:21:13,"3.1040217, 101.6267083",104 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-08 02:22:03,"3.1063233, 101.6258717",76 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-08 02:22:53,"3.1087233, 101.624635",194 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-08 02:25:03,"3.111275, 101.62215",128 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-08 02:26:43,"3.1128133, 101.6201883",129 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-08 02:27:33,"3.1147483, 101.6213033",68 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-08 02:27:53,"3.116705, 101.623005",47 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-08 02:29:18,"3.1177417, 101.6243333",147 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-08 02:30:18,"3.1205417, 101.622115",37 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-08 02:32:08,"3.1178183, 101.6200133",116 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-08 02:35:38,"3.1123817, 101.619555",180 meter,30
